Index,X_mm,Z_mm,Intensity,Valid
743,-0.366034,0.132039,167,1
744,-0.363634,0.132073,167,1
745,-0.361234,0.132124,171,1
746,-0.358833,0.132022,178,1
747,-0.356433,0.131733,177,1
748,-0.354033,0.131546,170,1
749,-0.351633,0.131716,170,1
750,-0.349232,0.131937,171,1
751,-0.346832,0.132107,172,1
752,-0.344432,0.131767,169,1
753,-0.342032,0.131563,169,1
754,-0.339632,0.131614,175,1
755,-0.337231,0.131835,179,1
756,-0.334831,0.132056,184,1
757,-0.332431,0.131784,180,1
758,-0.330031,0.131529,181,1
759,-0.32763,0.131954,185,1
760,-0.32523,0.131767,175,1
761,-0.32283,0.131563,177,1
762,-0.32043,0.131699,186,1
763,-0.31803,0.131954,187,1
764,-0.315629,0.131767,182,1
765,-0.313229,0.132192,185,1
766,-0.310829,0.132294,190,1
767,-0.308429,0.132379,200,1
768,-0.306028,0.132328,198,1
769,-0.303628,0.132107,189,1
770,-0.301228,0.131665,177,1
771,-0.298828,0.131427,177,1
772,-0.296428,0.131461,185,1
773,-0.294027,0.131682,189,1
774,-0.291627,0.13226,194,1
775,-0.289227,0.132311,191,1
776,-0.286827,0.132209,186,1
777,-0.284426,0.132141,182,1
778,-0.282026,0.131971,177,1
779,-0.279626,0.131835,173,1
780,-0.277226,0.131954,178,1
781,-0.274826,0.13192,185,1
782,-0.272425,0.131682,186,1
783,-0.270025,0.131546,187,1
784,-0.267625,0.13141,182,1
785,-0.265225,0.131359,176,1
786,-0.262824,0.131444,178,1
787,-0.260424,0.131665,184,1
788,-0.258024,0.131988,191,1
789,-0.255624,0.132192,190,1
790,-0.253224,0.13192,182,1
791,-0.250823,0.131614,174,1
792,-0.248423,0.131699,176,1
793,-0.246023,0.13192,185,1
794,-0.243623,0.13209,188,1
795,-0.241222,0.13192,189,1
796,-0.238822,0.131801,192,1
797,-0.236422,0.131988,193,1
798,-0.234022,0.13209,194,1
799,-0.231622,0.131852,195,1
800,-0.229221,0.131699,195,1
801,-0.226821,0.13158,190,1
802,-0.224421,0.131342,188,1
803,-0.222021,0.131291,187,1
804,-0.21962,0.13141,186,1
805,-0.21722,0.131512,185,1
